id,title,contentType,exposureDate,viewCnt,thumbnail,vodTime,symptom_category,symptom_code
618161,"갤럭시, 사용 중 기기가 따뜻해지거나 뜨거워지는 등 발열 현상이 있습니다.",일반,2026-02-26 00:00:00,296219,,,전원/배터리/충전,754
4600179,갤럭시 Z 플립5/6/7 커버 화면에서 배터리 잔량 확인 방법,일반,2026-02-04 15:41:16,967,,,전원/배터리/충전,754
37805,"갤럭시, 유선 충전이 안되거나 충전 속도 느림 현상(저속 충전)이 발생합니다.",일반,2026-01-12 00:00:00,354531,,,전원/배터리/충전,754
37809,"갤럭시, 휴대전화 배터리 충전이 안 돼요.",일반,2026-01-12 00:00:00,487952,,,전원/배터리/충전,754
40691,"갤럭시, 배터리가 빨리 소모됩니다.",일반,2025-10-30 00:00:00,295304,,,전원/배터리/충전,754
4416696,"갤럭시, 배터리 고장 점검 및 수리 교체 방법 안내",일반,2025-10-14 20:04:58,52427,,,전원/배터리/충전,754
4416691,갤럭시 휴대전화 배터리 교체 시점 안내,일반,2025-10-14 19:59:53,15047,,,전원/배터리/충전,754
4386686,"갤럭시, 휴대전화 배터리 상태 점검 방법",일반,2025-09-29 18:54:27,70155,,,전원/배터리/충전,754
25867,갤럭시 스마트폰을 초고속으로 충전하세요.,일반,2025-09-15 00:00:00,234351,,,전원/배터리/충전,754
40227,"갤럭시, 전원이 자동으로 꺼집니다.",일반,2025-06-10 00:00:00,219174,,,전원/배터리/충전,754
618000,새로 산 휴대전화의 배터리가 더 빨리 소모되는 것 같으면 어떻게 해야 하나요?,일반,2025-05-26 00:00:00,25890,,,전원/배터리/충전,754
1004045,"갤럭시, 충전 포트(단자) 물기 유입 시 조치 방법",일반,2025-05-15 00:00:00,184791,,,전원/배터리/충전,754
2683703,"갤럭시, 제품 이상 시 조치 방법에 대해 알아보세요.(느려짐, 버벅임, 멈춤, 재부팅, 꺼짐 등)",일반,2024-09-02 00:00:00,52988,,,전원/배터리/충전,754
1848755,갤럭시 S24/S24+/S24 Ultra 프리미엄 핵심 사용 가이드,일반,2024-01-18 08:26:23,65461,,,전원/배터리/충전,754
1848012,"갤럭시 S24, 자가진단 방법을 활용한 나의 갤럭시 점검하기",일반,2024-01-18 00:00:00,15676,,,전원/배터리/충전,754
40314,"갤럭시, 기기가 자동으로 재시작(재부팅) 됩니다.",일반,2024-01-13 00:00:00,129531,,,전원/배터리/충전,754
25686,무선충전 기능을 지원하는 갤럭시 스마트폰이 궁금해요.,일반,2023-08-22 00:00:00,157240,,,전원/배터리/충전,754
1491822,"갤럭시, 케이스 장착 후 무선 충전이 안됩니다.",일반,2023-07-20 13:05:04,9042,,,전원/배터리/충전,754
37807,"갤럭시, 충전 중 미세 전기(진동)오는 현상이 발생합니다.",일반,2023-03-20 00:00:00,37143,,,전원/배터리/충전,754
1324326,"갤럭시, 비정품 액세서리 사용으로 인한 문제(통화음 불량 안들림, 잡음, 카메라 습기, 초점 이상, 동영상 촬영 소리 작음, S펜 인식안됨 등)",일반,2023-02-17 17:16:30,5812,,,전원/배터리/충전,754
1324310,"갤럭시, 게임 중 USB PD 충전 일시정지 기능에 대해 알아보세요.",일반,2023-02-17 16:30:48,20630,,,전원/배터리/충전,754
1324301,"갤럭시 S23, 정품 프레임 케이스(커버) 사용 시 무선 충전이 안됩니다.",일반,2023-02-17 16:05:00,6134,,,전원/배터리/충전,754
1314966,갤럭시 S23/S23+/S23 Ultra 프리미엄 핵심 사용 가이드,일반,2023-02-08 16:44:34,32599,,,전원/배터리/충전,754
1307505,"갤럭시 S23 시리즈, 배터리 사용 시간이 늘어났어요.",일반,2023-02-02 09:01:51,47081,,,전원/배터리/충전,754
1303973,삼성전자 배터리 팩의 안전한 사용을 위한 주의사항 안내,일반,2023-01-30 10:16:58,5996,,,전원/배터리/충전,754
1079715,"갤럭시, 발열 및 배터리 관리를 하려면 어떻게 해야하나요?",일반,2022-11-12 00:00:00,31017,,,전원/배터리/충전,754
